"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"5 years"	"5"	"2003"	"2003"	"Female"	"F"	48	1867683	2.6
	"5 years"	"5"	"2003"	"2003"	"Male"	"M"	64	1955885	3.3
"Total"	"5 years"	"5"	"2003"	"2003"			112	3823568	2.9
	"5 years"	"5"	"2004"	"2004"	"Female"	"F"	48	1871767	2.6
	"5 years"	"5"	"2004"	"2004"	"Male"	"M"	65	1957840	3.3
"Total"	"5 years"	"5"	"2004"	"2004"			113	3829607	3.0
	"5 years"	"5"	"2005"	"2005"	"Female"	"F"	38	1901483	2.0
	"5 years"	"5"	"2005"	"2005"	"Male"	"M"	50	1991645	2.5
"Total"	"5 years"	"5"	"2005"	"2005"			88	3893128	2.3
	"5 years"	"5"	"2006"	"2006"	"Female"	"F"	39	1982961	2.0
	"5 years"	"5"	"2006"	"2006"	"Male"	"M"	56	2067621	2.7
"Total"	"5 years"	"5"	"2006"	"2006"			95	4050582	2.3
	"5 years"	"5"	"2007"	"2007"	"Female"	"F"	40	1955007	2.0
	"5 years"	"5"	"2007"	"2007"	"Male"	"M"	53	2038482	2.6
"Total"	"5 years"	"5"	"2007"	"2007"			93	3993489	2.3
	"5 years"	"5"	"2008"	"2008"	"Female"	"F"	54	1968133	2.7
	"5 years"	"5"	"2008"	"2008"	"Male"	"M"	46	2056164	2.2
"Total"	"5 years"	"5"	"2008"	"2008"			100	4024297	2.5
	"5 years"	"5"	"2009"	"2009"	"Female"	"F"	50	1991556	2.5
	"5 years"	"5"	"2009"	"2009"	"Male"	"M"	52	2078709	2.5
